sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
XGM033,XGM036,XGM033,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,74,22.6,Shallow
XGM034.1,XGM037,XGM034,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,74,22.6,Shallow
XGM034.2,XGM037.2,XGM034,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,74,22.6,Shallow
XGM034.3,XGM037.3,XGM034,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,74,22.6,Shallow
XGM035,XGM038,XGM035,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,78,23.8,Shallow
XGM036,XGM039,XGM036,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,76,23.2,Shallow
XGM037,XGM040,XGM037,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,76,23.2,Shallow
XGM038,XGM041,XGM038,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,77,23.5,Shallow
XGM039,XGM043,XGM039,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,73,22.3,Shallow
XGM040,XGM044,XGM040,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,72,21.9,Shallow
XGM041,XGM045,XGM041,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,71,21.6,Shallow
XGM042,XGM046,XGM042,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,75,22.9,Shallow
XGM043,XGM047,XGM043,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,75,22.9,Shallow
XGM044,XGM048,XGM044,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,158,48.2,Mesophotic
XGM045,XGM050,XGM045,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,158,48.2,Mesophotic
XGM046,XGM051,XGM046,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,158,48.2,Mesophotic
XGM047,XGM052,XGM047,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,157,47.9,Mesophotic
XGM048,XGM053,XGM048,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,157,47.9,Mesophotic
XGM049,XGM055,XGM049,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,158,48.2,Mesophotic
XGM050,XGM056,XGM050,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,157,47.9,Mesophotic
XGM051,XGM057,XGM051,NWGOM,McGrail,MBMeso2,7/11/18,X. muta,27.963,-92.59352,157,47.9,Mesophotic
XGM052,XGM058,XGM052,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
XGM053,XGM059,XGM053,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
XGM054,XGM060,XGM054,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,158,48.2,Mesophotic
XGM055,XGM061,XGM055,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,158,48.2,Mesophotic
XGM056,XGM062,XGM056,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,156,47.5,Mesophotic
XGM057,XGM063,XGM057,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
XGM058,XGM064,XGM058,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
XGM059,XGM065,XGM059,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,156,47.5,Mesophotic
XGM060,XGM067,XGM060,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,162,49.4,Mesophotic
XGM061,XGM068,XGM061,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,162,49.4,Mesophotic
XGM062,XGM069,XGM062,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,160,48.8,Mesophotic
XGM063,XGM070,XGM063,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,159,48.5,Mesophotic
XGM064,XGM071,XGM064,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,159,48.5,Mesophotic
XGM065,XGM072,XGM065,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
XGM066,XGM073,XGM066,NWGOM,McGrail,MBMeso3,7/11/18,X. muta,27.96299,-92.59262,157,47.9,Mesophotic
